,username,biography,userid,mediacount,followers,followees,is_verified
0,scottwalker,"Christian American Husband Father 45th Governor of WI Harley rider Packers/Brewers/Bucks/MU/UW fan President of YAF.org  Author, Unintimidated",586553277,8683,47989,175,True
1,newyorkcitizensauditnews,"NY Citizens Audit is a Volunteer based group. 
For more info visit: AuditNY.com
Rumble Channel:
New York Citizens Audit",50346417000,1202,891,460,False
2,steventkirsch,"Retired serial entrepreneur. Follow me on stevekirsch.substack.com, Telegram (https://t.me/stkirsch), Gab, TruthSocial, and GETTR.",184544694,10,4469,20,False
3,shannonrwatts,"🎤 Speaker, author, organizer
🙋‍♀️ “Summoner of women’s audacity”
📢 Founder @MomsDemand
🖊️ Substack signup here👇",24779854,431,129536,2369,True
4,chris_larson,,5941863,1138,1743,349,False
5,mike_johnson,"Write into our newsletter to ask your questions around sex and relationships, anonymously. Answered by our Integrative Sexual Health team ⬇️",6860274,163,515456,402,True
6,vivekgramaswamy,U.S. Presidential Candidate. TRUTH. Text VIVEK to 84835.,45537566102,1092,815861,33,True
7,realdonaldtrump,45th President of the United States,347696668,6322,23588641,47,True
8,opportunitywi,Coalition of #WI residents fighting for an economy that works for working people.,47943149552,412,540,658,False
9,senatormelissaagard,"Mom to 4 Sons, State Senator for Wisconsin’s 16th Senate District, Leader of @wisconsinsenatedemocrats",1283366,2350,2018,606,False
10,twitter,Screenshots of Tweets.,471188176,216,1230214,0,True
11,onenation.wws,"Unsere Shisha Cubes werden mit viel Liebe und Sorgfalt aus den reinen Kokosnussschalen hergestellt. Keine chemischen Zusätze , nur pure Natur! 🔥🥥",3957969010,51,22335,172,False
12,repalexmooney,Proudly Representing West Virginia's Second Congressional District,2124143262,535,6470,209,True
13,tiktok,"TikTok In The Mix tickets on sale now!
📍Mesa, AZ on Dec 10th",1523104692,1740,26592127,8,True
14,chrischristie,"Husband, proud father, former Gov and U.S. Attorney, Springsteen fan. Running for President.",180979985,739,40564,150,True
15,neverbackdownger,"Hard hitting music🔥
Official site for Never Back Down (Ger)
„Sleepwalking“ with Hollow Front out now!
booking: torben@nocut.de
@nocut_entertainment",3031553737,146,5331,298,False
16,repdittrich,Official Instagram account  of Wisconsin State Representative Barbara Dittrich of the 38th Assembly District,10332137292,2064,915,513,True
17,repandybiggs,Serving Arizona's Fifth Congressional District.,4363494496,2243,18317,264,True
18,brian_krassenstein,"Father, Husband, Human Being",199880467,52,1050,132,False
19,potus,"46th President of the United States, husband to @flotus, proud dad and pop. Finishing the job for all Americans.
Text me: (302) 404-0880",45248996870,3466,19403829,5,True
20,beccaf_xx,"Rebecca Cooke Foden Fanpage
Phil viewed my story x75 😭❤️
Ronnie viewed my story x9😭❤️
@philfoden I love you so much😭❤️",38252752952,395,9351,32,False
21,senatortimscott,Living my mama’s American Dream.,276451042,1964,177956,496,True
22,paulaconigliointeriors,"•Interior design & Architecture•
Venice, ITALY | ARGENTINA.",5338896633,102,3342,1117,False
23,egordongee,President of West Virginia University. Supporter of everything West Virginia. Proud father and grandfather. Bow tie enthusiast.,823198674,466,29008,33,False
